Time,Zeitgeber
0.0,0
0.1667,0
0.3333,0
0.5,0
0.6667,0
0.8333,0
1.0,0
1.1667,0
1.3333,0
1.5,0
1.6667,0
1.8333,0
2.0,0
2.1667,0
2.3333,0
2.5,0
2.6667,0
2.8333,0
3.0,0
3.1667,0
3.3333,0
3.5,0
3.6667,0
3.8333,0
4.0,0
4.1667,0
4.3333,0
4.5,0
4.6667,0
4.8333,0
5.0,0
5.1667,0
5.3333,0
5.5,0
5.6667,0
5.8333,0
6.0,0
6.1667,0
6.3333,0
6.5,0
6.6667,0
6.8333,0
7.0,0
7.1667,0
7.3333,0
7.5,0
7.6667,0
7.8333,0
8.0,0
8.1667,0
8.3333,0
8.5,0
8.6667,0
8.8333,0
9.0,0
9.1667,0
9.3333,0
9.5,0
9.6667,0
9.8333,0
10.0,0
10.1667,0
10.3333,0
10.5,0
10.6667,0
10.8333,0
11.0,0
11.1667,0
11.3333,0
11.5,0
11.6667,0
11.8333,0
12.0,1
12.1667,1
12.3333,1
12.5,1
12.6667,1
12.8333,1
13.0,1
13.1667,1
13.3333,1
13.5,1
13.6667,1
13.8333,1
14.0,1
14.1667,1
14.3333,1
14.5,1
14.6667,1
14.8333,1
15.0,1
15.1667,1
15.3333,1
15.5,1
15.6667,1
15.8333,1
16.0,1
16.1667,1
16.3333,1
16.5,1
16.6667,1
16.8333,1
17.0,1
17.1667,1
17.3333,1
17.5,1
17.6667,1
17.8333,1
18.0,1
18.1667,1
18.3333,1
18.5,1
18.6667,1
18.8333,1
19.0,1
19.1667,1
19.3333,1
19.5,1
19.6667,1
19.8333,1
20.0,1
20.1667,1
20.3333,1
20.5,1
20.6667,1
20.8333,1
21.0,1
21.1667,1
21.3333,1
21.5,1
21.6667,1
21.8333,1
22.0,1
22.1667,1
22.3333,1
22.5,1
22.6667,1
22.8333,1
23.0,1
23.1667,1
23.3333,1
23.5,1
23.6667,1
23.8333,1
24.0,0
24.1667,0
24.3333,0
24.5,0
24.6667,0
24.8333,0
25.0,0
25.1667,0
25.3333,0
25.5,0
25.6667,0
25.8333,0
26.0,0
26.1667,0
26.3333,0
26.5,0
26.6667,0
26.8333,0
27.0,0
27.1667,0
27.3333,0
27.5,0
27.6667,0
27.8333,0
28.0,0
28.1667,0
28.3333,0
28.5,0
28.6667,0
28.8333,0
29.0,0
29.1667,0
29.3333,0
29.5,0
29.6667,0
29.8333,0
30.0,0
30.1667,0
30.3333,0
30.5,0
30.6667,0
30.8333,0
31.0,0
31.1667,0
31.3333,0
31.5,0
31.6667,0
31.8333,0
32.0,0
32.1667,0
32.3333,0
32.5,0
32.6667,0
32.8333,0
33.0,0
33.1667,0
33.3333,0
33.5,0
33.6667,0
33.8333,0
34.0,0
34.1667,0
34.3333,0
34.5,0
34.6667,0
34.8333,0
35.0,0
35.1667,0
35.3333,0
35.5,0
35.6667,0
35.8333,0
36.0,1
36.1667,1
36.3333,1
36.5,1
36.6667,1
36.8333,1
37.0,1
37.1667,1
37.3333,1
37.5,1
37.6667,1
37.8333,1
38.0,1
38.1667,1
38.3333,1
38.5,1
38.6667,1
38.8333,1
39.0,1
39.1667,1
39.3333,1
39.5,1
39.6667,1
39.8333,1
40.0,1
40.1667,1
40.3333,1
40.5,1
40.6667,1
40.8333,1
41.0,1
41.1667,1
41.3333,1
41.5,1
41.6667,1
41.8333,1
42.0,1
42.1667,1
42.3333,1
42.5,1
42.6667,1
42.8333,1
43.0,1
43.1667,1
43.3333,1
43.5,1
43.6667,1
43.8333,1
44.0,1
44.1667,1
44.3333,1
44.5,1
44.6667,1
44.8333,1
45.0,1
45.1667,1
45.3333,1
45.5,1
45.6667,1
45.8333,1
46.0,1
46.1667,1
46.3333,1
46.5,1
46.6667,1
46.8333,1
47.0,1
47.1667,1
47.3333,1
47.5,1
47.6667,1
47.8333,1
48.0,0
48.1667,0
48.3333,0
48.5,0
48.6667,0
48.8333,0
49.0,0
49.1667,0
49.3333,0
49.5,0
49.6667,0
49.8333,0
50.0,0
50.1667,0
50.3333,0
50.5,0
50.6667,0
50.8333,0
51.0,0
51.1667,0
51.3333,0
51.5,0
51.6667,0
51.8333,0
52.0,0
52.1667,0
52.3333,0
52.5,0
52.6667,0
52.8333,0
53.0,0
53.1667,0
53.3333,0
53.5,0
53.6667,0
53.8333,0
54.0,0
54.1667,0
54.3333,0
54.5,0
54.6667,0
54.8333,0
55.0,0
55.1667,0
55.3333,0
55.5,0
55.6667,0
55.8333,0
56.0,0
56.1667,0
56.3333,0
56.5,0
56.6667,0
56.8333,0
57.0,0
57.1667,0
57.3333,0
57.5,0
57.6667,0
57.8333,0
58.0,0
58.1667,0
58.3333,0
58.5,0
58.6667,0
58.8333,0
59.0,0
59.1667,0
59.3333,0
59.5,0
59.6667,0
59.8333,0
60.0,0
60.1667,0
60.3333,0
60.5,0
60.6667,0
60.8333,0
61.0,0
61.1667,0
61.3333,0
61.5,0
61.6667,0
61.8333,0
62.0,0
62.1667,0
62.3333,0
62.5,0
62.6667,0
62.8333,0
63.0,0
63.1667,0
63.3333,0
63.5,0
63.6667,0
63.8333,0
64.0,0
64.1667,0
64.3333,0
64.5,0
64.6667,0
64.8333,0
65.0,0
65.1667,0
65.3333,0
65.5,0
65.6667,0
65.8333,0
66.0,0
66.1667,0
66.3333,0
66.5,0
66.6667,0
66.8333,0
67.0,0
67.1667,0
67.3333,0
67.5,0
67.6667,0
67.8333,0
68.0,0
68.1667,0
68.3333,0
68.5,0
68.6667,0
68.8333,0
69.0,0
69.1667,0
69.3333,0
69.5,0
69.6667,0
69.8333,0
70.0,0
70.1667,0
70.3333,0
70.5,0
70.6667,0
70.8333,0
71.0,0
71.1667,0
71.3333,0
71.5,0
71.6667,0
71.8333,0
72.0,0
72.1667,0
72.3333,0
72.5,0
72.6667,0
72.8333,0
73.0,0
73.1667,0
73.3333,0
73.5,0
73.6667,0
73.8333,0
74.0,0
74.1667,0
74.3333,0
74.5,0
74.6667,0
74.8333,0
75.0,0
75.1667,0
75.3333,0
75.5,0
75.6667,0
75.8333,0
76.0,0
76.1667,0
76.3333,0
76.5,0
76.6667,0
76.8333,0
77.0,0
77.1667,0
77.3333,0
77.5,0
77.6667,0
77.8333,0
78.0,0
78.1667,0
78.3333,0
78.5,0
78.6667,0
78.8333,0
79.0,0
79.1667,0
79.3333,0
79.5,0
79.6667,0
79.8333,0
80.0,0
80.1667,0
80.3333,0
80.5,0
80.6667,0
80.8333,0
81.0,0
81.1667,0
81.3333,0
81.5,0
81.6667,0
81.8333,0
82.0,0
82.1667,0
82.3333,0
82.5,0
82.6667,0
82.8333,0
83.0,0
83.1667,0
83.3333,0
83.5,0
83.6667,0
83.8333,0
84.0,0
84.1667,0
84.3333,0
84.5,0
84.6667,0
84.8333,0
85.0,0
85.1667,0
85.3333,0
85.5,0
85.6667,0
85.8333,0
86.0,0
86.1667,0
86.3333,0
86.5,0
86.6667,0
86.8333,0
87.0,0
87.1667,0
87.3333,0
87.5,0
87.6667,0
87.8333,0
88.0,0
88.1667,0
88.3333,0
88.5,0
88.6667,0
88.8333,0
89.0,0
89.1667,0
89.3333,0
89.5,0
89.6667,0
89.8333,0
90.0,0
90.1667,0
90.3333,0
90.5,0
90.6667,0
90.8333,0
91.0,0
91.1667,0
91.3333,0
91.5,0
91.6667,0
91.8333,0
92.0,0
92.1667,0
92.3333,0
92.5,0
92.6667,0
92.8333,0
93.0,0
93.1667,0
93.3333,0
93.5,0
93.6667,0
93.8333,0
94.0,0
94.1667,0
94.3333,0
94.5,0
94.6667,0
94.8333,0
95.0,0
95.1667,0
95.3333,0
95.5,0
95.6667,0
95.8333,0
96.0,0
96.1667,0
96.3333,0
96.5,0
96.6667,0
96.8333,0
97.0,0
97.1667,0
97.3333,0
97.5,0
97.6667,0
97.8333,0
98.0,0
98.1667,0
98.3333,0
98.5,0
98.6667,0
98.8333,0
99.0,0
99.1667,0
99.3333,0
99.5,0
99.6667,0
99.8333,0
100.0,0
100.1667,0
100.3333,0
100.5,0
100.6667,0
100.8333,0
101.0,0
101.1667,0
101.3333,0
101.5,0
101.6667,0
101.8333,0
102.0,0
102.1667,0
102.3333,0
102.5,0
102.6667,0
102.8333,0
103.0,0
103.1667,0
103.3333,0
103.5,0
103.6667,0
103.8333,0
104.0,0
104.1667,0
104.3333,0
104.5,0
104.6667,0
104.8333,0
105.0,0
105.1667,0
105.3333,0
105.5,0
105.6667,0
105.8333,0
106.0,0
106.1667,0
106.3333,0
106.5,0
106.6667,0
106.8333,0
107.0,0
107.1667,0
107.3333,0
107.5,0
107.6667,0
107.8333,0
108.0,0
108.1667,0
108.3333,0
108.5,0
108.6667,0
108.8333,0
109.0,0
109.1667,0
109.3333,0
109.5,0
109.6667,0
109.8333,0
110.0,0
110.1667,0
110.3333,0
110.5,0
110.6667,0
110.8333,0
111.0,0
111.1667,0
111.3333,0
111.5,0
111.6667,0
111.8333,0
112.0,0
112.1667,0
112.3333,0
112.5,0
112.6667,0
112.8333,0
113.0,0
113.1667,0
113.3333,0
113.5,0
113.6667,0
113.8333,0
114.0,0
114.1667,0
114.3333,0
114.5,0
114.6667,0
114.8333,0
115.0,0
115.1667,0
115.3333,0
115.5,0
115.6667,0
115.8333,0
116.0,0
116.1667,0
116.3333,0
116.5,0
116.6667,0
116.8333,0
117.0,0
117.1667,0
117.3333,0
117.5,0
117.6667,0
117.8333,0
118.0,0
118.1667,0
118.3333,0
118.5,0
118.6667,0
118.8333,0
119.0,0
119.1667,0
119.3333,0
119.5,0
119.6667,0
119.8333,0
120.0,0
120.1667,0
120.3333,0
120.5,0
120.6667,0
120.8333,0
121.0,0
121.1667,0
121.3333,0
121.5,0
121.6667,0
121.8333,0
122.0,0
122.1667,0
122.3333,0
122.5,0
122.6667,0
122.8333,0
123.0,0
123.1667,0
123.3333,0
123.5,0
123.6667,0
123.8333,0
124.0,0
124.1667,0
124.3333,0
124.5,0
124.6667,0
124.8333,0
125.0,0
125.1667,0
125.3333,0
125.5,0
125.6667,0
125.8333,0
126.0,0
126.1667,0
126.3333,0
126.5,0
126.6667,0
126.8333,0
127.0,0
127.1667,0
127.3333,0
127.5,0
127.6667,0
127.8333,0
128.0,0
128.1667,0
128.3333,0
128.5,0
128.6667,0
128.8333,0
129.0,0
129.1667,0
129.3333,0
129.5,0
129.6667,0
129.8333,0
130.0,0
130.1667,0
130.3333,0
130.5,0
130.6667,0
130.8333,0
131.0,0
131.1667,0
131.3333,0
131.5,0
131.6667,0
131.8333,0
132.0,0
132.1667,0
132.3333,0
132.5,0
132.6667,0
132.8333,0
133.0,0
133.1667,0
133.3333,0
133.5,0
133.6667,0
133.8333,0
134.0,0
134.1667,0
134.3333,0
134.5,0
134.6667,0
134.8333,0
135.0,0
135.1667,0
135.3333,0
135.5,0
135.6667,0
135.8333,0
136.0,0
136.1667,0
136.3333,0
136.5,0
136.6667,0
136.8333,0
137.0,0
137.1667,0
137.3333,0
137.5,0
137.6667,0
137.8333,0
138.0,0
138.1667,0
138.3333,0
138.5,0
138.6667,0
138.8333,0
139.0,0
139.1667,0
139.3333,0
139.5,0
139.6667,0
139.8333,0
140.0,0
140.1667,0
140.3333,0
140.5,0
140.6667,0
140.8333,0
141.0,0
141.1667,0
141.3333,0
141.5,0
141.6667,0
141.8333,0
142.0,0
142.1667,0
142.3333,0
142.5,0
142.6667,0
142.8333,0
143.0,0
143.1667,0
143.3333,0
143.5,0
143.6667,0
143.8333,0
144.0,0
