Time,ARNTL,CLOCK,NPAS2,PER1,PER2,PER3,CRY1,CRY2,NR1D1,NR1D2,DBP,TEF,HLF,CIART,RORA,WEE1,SLC2A1,PPARGC1A,ACTB,GAPDH,TUBB,RPL13A,B2M,HPRT1
0.0,8.4319,8.0781,7.1458,6.6181,6.169,5.413,7.0681,7.3938,8.3378,7.0791,7.4417,7.198,6.1524,5.9585,6.279,6.1748,7.4253,6.1923,13.2106,12.4853,10.6982,12.9746,11.3963,9.3311
0.0,8.9438,8.2783,7.2409,6.9707,7.0773,5.6513,6.6718,7.5126,9.1187,7.1184,7.4974,7.361,6.5935,5.9988,6.5589,6.2941,7.6768,6.9641,13.0444,12.4336,11.0717,13.0923,11.3534,9.1558
0.0,8.4863,8.3784,7.1416,7.2907,6.1701,4.9295,6.9098,7.2466,8.4287,7.0985,7.4784,6.9501,6.074,5.6128,6.1671,6.2108,7.4876,7.1568,13.3107,12.2308,10.6387,12.8742,11.3246,9.4926
4.0,7.8718,7.9847,6.4541,7.5748,6.0859,5.2682,6.2453,7.8231,11.0267,8.283,8.5243,7.5309,7.3592,7.1157,6.6739,6.5102,7.5166,6.0574,13.0883,12.4343,10.5507,12.7113,11.1688,9.4402
4.0,7.8488,8.0179,6.2919,6.8915,6.4503,5.574,6.1302,7.9308,11.354,8.3677,8.3995,8.15,7.1607,7.5421,6.4878,6.8002,7.6355,6.0338,13.1727,12.5036,11.1084,12.9272,11.4602,9.3048
4.0,7.0993,8.064,6.208,7.358,6.0474,4.8407,5.6073,7.5547,10.8755,8.3658,8.4443,7.6869,6.8677,7.5865,6.2298,6.4275,7.7088,5.8515,13.0043,12.239,10.6635,12.7459,11.3461,9.0737
8.0,6.725,7.5266,5.7514,8.9681,7.547,6.3362,6.2988,7.4197,9.9898,8.2648,10.4317,8.4748,7.5424,8.5632,5.9547,7.0199,7.1148,5.0888,12.8571,12.2196,11.1131,13.0164,11.1777,9.2177
8.0,6.7978,7.9346,5.7278,8.8823,7.1192,6.5075,6.7785,8.3166,10.325,9.0307,10.7028,8.6215,7.8832,8.9725,6.0223,7.0798,7.8807,,13.2751,12.5856,10.8011,13.154,11.258,9.6243
8.0,6.4887,7.6234,5.3784,8.685,7.1037,6.387,6.6883,7.8311,9.8269,8.3276,10.3712,8.7118,7.7978,8.7048,6.3377,6.4591,7.5932,5.022,12.9028,12.4684,10.5506,12.8061,11.111,9.5194
12.0,6.2632,7.8183,5.5159,8.6708,8.8916,7.0307,6.7313,7.6265,7.3435,7.6932,10.5789,8.2333,8.1094,7.7547,6.2849,7.0575,7.0997,5.1637,13.2507,12.4653,10.8644,12.9581,11.3557,9.2033
12.0,6.6254,7.9022,5.5447,9.0391,9.0783,7.6767,7.373,8.2292,7.4044,7.9032,10.7516,8.5959,8.0361,7.469,6.4101,7.5367,7.4829,4.9871,13.2597,12.7131,10.9086,12.9609,11.1077,9.51
