Sample,Condition,True_intrinsic_period_h,Entrained_period_h,Rhythmic_after_release,Initial_relative_amplitude,Baseline_decay_tau_h
A1,Wild type,24.16,24.0,yes,0.394,104.0
A2,Wild type,24.399,24.0,yes,0.41,100.0
A3,Wild type,23.821,24.0,yes,0.372,100.7
A4,Wild type,24.375,24.0,yes,0.411,123.5
A5,Wild type,24.259,24.0,yes,0.404,106.6
A6,Wild type,24.33,24.0,yes,0.346,100.2
B1,Short period,21.942,24.0,yes,0.333,103.0
B2,Short period,22.2,24.0,yes,0.311,124.6
B3,Short period,22.21,24.0,yes,0.388,107.9
B4,Short period,22.076,24.0,yes,0.308,110.2
B5,Short period,22.081,24.0,yes,0.353,105.3
B6,Short period,21.809,24.0,yes,0.373,101.3
C1,Long period,26.371,24.0,yes,0.336,107.0
C2,Long period,26.265,24.0,yes,0.334,123.4
C3,Long period,26.466,24.0,yes,0.355,127.8
C4,Long period,26.28,24.0,yes,0.331,124.0
C5,Long period,26.41,24.0,yes,0.309,120.4
C6,Long period,26.282,24.0,yes,0.35,129.1
D1,Arrhythmic,,24.0,no,0.0,102.0
D2,Arrhythmic,,24.0,no,0.0,108.3
D3,Arrhythmic,,24.0,no,0.0,111.7
D4,Arrhythmic,,24.0,no,0.0,112.2
D5,Arrhythmic,,24.0,no,0.0,123.2
D6,Arrhythmic,,24.0,no,0.0,125.1
